TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
HOOT3;0,00;;0,00;0,00;0,00;60,25;-80,47;-117,20;0,00;-0,71;0,10;;0,00;0,00;0,00;0,04;-8,34;-8,20;5,80;-0,98;2,04;0,07;-24,22;;;-25,39;-2,12;0,00;21.630.913,56
HOOT4;2,74;;-1,29;-0,11;0,11;60,25;-80,47;-117,20;-1,89;-0,71;0,10;;1,52;-0,08;-0,11;0,04;-8,34;-8,20;5,80;-0,98;2,04;0,07;-24,22;;14.157,91;-25,39;-2,12;0,02;21.630.913,56
HYPE3;29,02;4,26;14,21;1,90;0,92;63,97;32,24;23,74;10,46;12,92;2,43;0,44;3,37;5,40;-1,39;1,99;13,35;6,45;10,00;0,48;0,52;0,27;6,70;18,22;88.079.381,86;15,28;2,04;2,35;18.407.209.116,38
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;;2,31;-2,18;0,00;224.007.574,38
IFCM3;14,26;;-403,54;4,30;2,64;48,55;-4,51;-3,05;-273,18;-234,87;35,43;-0,56;12,32;8,36;-6,58;2,11;-1,07;-0,65;-1,46;0,61;0,39;0,21;;;22.619.144,42;3,31;-0,04;;3.923.417.214,00
IGBR3;18,00;;-0,24;-0,02;0,17;99,70;-1.288,75;-1.844,22;-0,35;-8,45;-8,08;;4,50;-0,05;-0,19;0,03;-8,96;-71,09;12,82;-7,93;8,93;0,04;-9,35;;213.231,61;-820,47;-73,53;-0,01;23.371.770,24
IGSN3;0,00;;0,00;0,00;0,00;32,97;13,25;-3,97;0,00;33,20;33,20;1,41;0,00;0,00;0,00;0,75;-1,27;-0,35;1,04;0,27;0,73;0,09;10,03;;;6,82;-0,09;0,00;0,00
IGTA3;33,00;0,86;17,05;1,71;0,83;52,76;50,41;47,06;15,91;20,93;5,02;0,54;8,02;4,03;-1,10;5,62;10,06;4,85;3,26;0,48;0,52;0,10;1,21;12,34;70.275.318,31;19,24;1,94;0,36;5.828.182.074,00
IGTI11;18,74;;43,53;4,14;1,01;52,83;46,37;23,03;21,62;20,41;5,74;1,10;10,02;5,03;-1,33;5,31;9,51;2,31;2,46;0,24;0,52;0,10;1,23;;46.014.588,42;4,52;0,43;0,55;4.949.403.222,20
